Via_de_acesso;UF;nome_pais_correto;mes;ano;Chegadas
Aérea;Rio de Janeiro;Afeganistão;Janeiro;2025;1
Aérea;São Paulo;Afeganistão;Janeiro;2025;3
Terrestre;Paraná;Afeganistão;Janeiro;2025;2
Terrestre;Santa Catarina;Afeganistão;Janeiro;2025;4
Terrestre;Santa Catarina;Afeganistão;Janeiro;2025;2
Terrestre;Rio Grande do Sul;Afeganistão;Janeiro;2025;1
Terrestre;Rio Grande do Sul;Afeganistão;Janeiro;2025;4
Terrestre;Rio Grande do Sul;Afeganistão;Janeiro;2025;7
Terrestre;Rio Grande do Sul;Afeganistão;Janeiro;2025;1
Marítima;Santa Catarina;Afeganistão;Janeiro;2025;5
Aérea;Amazonas;Albânia;Janeiro;2025;2
Aérea;Ceará;Albânia;Janeiro;2025;1
Aérea;Pernambuco;Albânia;Janeiro;2025;3
Aérea;Bahia;Albânia;Janeiro;2025;2
Aérea;Rio de Janeiro;Albânia;Janeiro;2025;42
Aérea;São Paulo;Albânia;Janeiro;2025;1
Aérea;São Paulo;Albânia;Janeiro;2025;20
Aérea;Santa Catarina;Albânia;Janeiro;2025;1
Terrestre;Paraná;Albânia;Janeiro;2025;1
Marítima;Bahia;Albânia;Janeiro;2025;1
Marítima;Santa Catarina;Albânia;Janeiro;2025;1
Marítima;Santa Catarina;Albânia;Janeiro;2025;1
Aérea;Amazonas;Alemanha;Janeiro;2025;47
Aérea;Pará;Alemanha;Janeiro;2025;66
Aérea;Ceará;Alemanha;Janeiro;2025;467
Aérea;Rio Grande do Norte;Alemanha;Janeiro;2025;83
Aérea;Pernambuco;Alemanha;Janeiro;2025;1
Aérea;Pernambuco;Alemanha;Janeiro;2025;448
Aérea;Alagoas;Alemanha;Janeiro;2025;13
Aérea;Bahia;Alemanha;Janeiro;2025;1
Aérea;Bahia;Alemanha;Janeiro;2025;715
Aérea;Minas Gerais;Alemanha;Janeiro;2025;288
Aérea;Rio de Janeiro;Alemanha;Janeiro;2025;4200
Aérea;São Paulo;Alemanha;Janeiro;2025;104
Aérea;São Paulo;Alemanha;Janeiro;2025;8270
Aérea;Paraná;Alemanha;Janeiro;2025;16
Aérea;Paraná;Alemanha;Janeiro;2025;16
Aérea;Santa Catarina;Alemanha;Janeiro;2025;302
Aérea;Rio Grande do Sul;Alemanha;Janeiro;2025;32
Aérea;Goiás;Alemanha;Janeiro;2025;1
Aérea;Distrito Federal;Alemanha;Janeiro;2025;205
Terrestre;Rondônia;Alemanha;Janeiro;2025;6
Terrestre;Acre;Alemanha;Janeiro;2025;6
Terrestre;Amazonas;Alemanha;Janeiro;2025;29
Terrestre;Roraima;Alemanha;Janeiro;2025;6
Terrestre;Roraima;Alemanha;Janeiro;2025;11
Terrestre;Amapá;Alemanha;Janeiro;2025;2
Terrestre;Paraná;Alemanha;Janeiro;2025;370
Terrestre;Paraná;Alemanha;Janeiro;2025;1158
Terrestre;Paraná;Alemanha;Janeiro;2025;1
Terrestre;Santa Catarina;Alemanha;Janeiro;2025;5
Terrestre;Rio Grande do Sul;Alemanha;Janeiro;2025;82
Terrestre;Rio Grande do Sul;Alemanha;Janeiro;2025;7
Terrestre;Rio Grande do Sul;Alemanha;Janeiro;2025;3
Terrestre;Rio Grande do Sul;Alemanha;Janeiro;2025;18
Terrestre;Rio Grande do Sul;Alemanha;Janeiro;2025;15
Terrestre;Rio Grande do Sul;Alemanha;Janeiro;2025;27
Terrestre;Mato Grosso do Sul;Alemanha;Janeiro;2025;16
Terrestre;Mato Grosso do Sul;Alemanha;Janeiro;2025;7
Terrestre;Mato Grosso;Alemanha;Janeiro;2025;1
Marítima;Ceará;Alemanha;Janeiro;2025;175
Marítima;Pernambuco;Alemanha;Janeiro;2025;16
Marítima;Pernambuco;Alemanha;Janeiro;2025;828
Marítima;Bahia;Alemanha;Janeiro;2025;346
Marítima;Rio de Janeiro;Alemanha;Janeiro;2025;2
Marítima;Rio de Janeiro;Alemanha;Janeiro;2025;59
Marítima;São Paulo;Alemanha;Janeiro;2025;11
Marítima;Paraná;Alemanha;Janeiro;2025;1
Marítima;Santa Catarina;Alemanha;Janeiro;2025;26
Marítima;Santa Catarina;Alemanha;Janeiro;2025;26
Fluvial;Pará;Alemanha;Janeiro;2025;15
Fluvial;Amapá;Alemanha;Janeiro;2025;38
Fluvial;Rio Grande do Sul;Alemanha;Janeiro;2025;1
Fluvial;Rio Grande do Sul;Alemanha;Janeiro;2025;6
Aérea;Bahia;Andorra;Janeiro;2025;3
Aérea;Rio de Janeiro;Andorra;Janeiro;2025;2
Aérea;São Paulo;Andorra;Janeiro;2025;1
Aérea;São Paulo;Andorra;Janeiro;2025;8
Aérea;Distrito Federal;Andorra;Janeiro;2025;1
Terrestre;Paraná;Andorra;Janeiro;2025;7
Terrestre;Santa Catarina;Andorra;Janeiro;2025;1
Marítima;Bahia;Andorra;Janeiro;2025;1
Marítima;Rio de Janeiro;Andorra;Janeiro;2025;1
Aérea;Pernambuco;Angola;Janeiro;2025;3
Aérea;Alagoas;Angola;Janeiro;2025;1
Aérea;Bahia;Angola;Janeiro;2025;3
Aérea;Rio de Janeiro;Angola;Janeiro;2025;12
Aérea;São Paulo;Angola;Janeiro;2025;1
Aérea;São Paulo;Angola;Janeiro;2025;733
Aérea;Santa Catarina;Angola;Janeiro;2025;1
Terrestre;Rio Grande do Sul;Angola;Janeiro;2025;1
Aérea;Rio de Janeiro;Antilhas Holandesas;Janeiro;2025;1
Aérea;Santa Catarina;Antilhas Holandesas;Janeiro;2025;1
Marítima;Santa Catarina;Antilhas Holandesas;Janeiro;2025;1
Aérea;Rio de Janeiro;Antígua e Barbuda;Janeiro;2025;3
Aérea;São Paulo;Antígua e Barbuda;Janeiro;2025;5
Terrestre;Paraná;Antígua e Barbuda;Janeiro;2025;1
Marítima;Pernambuco;Antígua e Barbuda;Janeiro;2025;1
Marítima;Santa Catarina;Antígua e Barbuda;Janeiro;2025;1
Aérea;Amazonas;Argentina;Janeiro;2025;11
Aérea;Pará;Argentina;Janeiro;2025;14
Aérea;Ceará;Argentina;Janeiro;2025;1636
Aérea;Rio Grande do Norte;Argentina;Janeiro;2025;2048
Aérea;Paraíba;Argentina;Janeiro;2025;11
Aérea;Pernambuco;Argentina;Janeiro;2025;2250
Aérea;Alagoas;Argentina;Janeiro;2025;1997
Aérea;Bahia;Argentina;Janeiro;2025;3751
Aérea;Bahia;Argentina;Janeiro;2025;9450
Aérea;Minas Gerais;Argentina;Janeiro;2025;581
Aérea;Rio de Janeiro;Argentina;Janeiro;2025;92168
Aérea;São Paulo;Argentina;Janeiro;2025;417
Aérea;São Paulo;Argentina;Janeiro;2025;49055
Aérea;São Paulo;Argentina;Janeiro;2025;2
Aérea;Paraná;Argentina;Janeiro;2025;37
Aérea;Paraná;Argentina;Janeiro;2025;996
Aérea;Santa Catarina;Argentina;Janeiro;2025;61917
Aérea;Santa Catarina;Argentina;Janeiro;2025;14
Aérea;Rio Grande do Sul;Argentina;Janeiro;2025;45
Aérea;Mato Grosso do Sul;Argentina;Janeiro;2025;7
Aérea;Distrito Federal;Argentina;Janeiro;2025;2108
Terrestre;Rondônia;Argentina;Janeiro;2025;4
Terrestre;Acre;Argentina;Janeiro;2025;8
Terrestre;Amazonas;Argentina;Janeiro;2025;9
Terrestre;Roraima;Argentina;Janeiro;2025;1
Terrestre;Roraima;Argentina;Janeiro;2025;13
Terrestre;Amapá;Argentina;Janeiro;2025;1
Terrestre;Paraná;Argentina;Janeiro;2025;818
Terrestre;Paraná;Argentina;Janeiro;2025;12030
Terrestre;Paraná;Argentina;Janeiro;2025;67287
Terrestre;Paraná;Argentina;Janeiro;2025;81
Terrestre;Paraná;Argentina;Janeiro;2025;14
Terrestre;Paraná;Argentina;Janeiro;2025;488
Terrestre;Santa Catarina;Argentina;Janeiro;2025;48659
Terrestre;Santa Catarina;Argentina;Janeiro;2025;27426
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;185
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;2
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;3506
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;5668
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;10934
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;83408
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;101
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;69952
Terrestre;Rio Grande do Sul;Argentina;Janeiro;2025;261100
Terrestre;Mato Grosso do Sul;Argentina;Janeiro;2025;103
Terrestre;Mato Grosso do Sul;Argentina;Janeiro;2025;105
Marítima;Bahia;Argentina;Janeiro;2025;7
Marítima;Santa Catarina;Argentina;Janeiro;2025;7
Marítima;Rio de Janeiro;Argentina;Janeiro;2025;8
Marítima;Rio de Janeiro;Argentina;Janeiro;2025;7874
Marítima;São Paulo;Argentina;Janeiro;2025;1221
Marítima;São Paulo;Argentina;Janeiro;2025;2157
Marítima;Paraná;Argentina;Janeiro;2025;2806
Marítima;Santa Catarina;Argentina;Janeiro;2025;12408
Marítima;Santa Catarina;Argentina;Janeiro;2025;10
Marítima;Santa Catarina;Argentina;Janeiro;2025;4654
Marítima;Rio Grande do Sul;Argentina;Janeiro;2025;22
Fluvial;Amapá;Argentina;Janeiro;2025;1
Fluvial;Santa Catarina;Argentina;Janeiro;2025;252
